ürün,miktar
Balık soğanı,8 kg
Domates,1 kasa
Pembe domates,1 kasa
Semizotu,2 tane
Angelica,2 kg
Kivi,3 kg
Kuru incir,1
Siyah leblebi,8 kg
Bostan patlıcanı,8 kg
Arapsacı soğan,2 paket
Nane,5 çubuk
Taze soğan,2 demet
Kavruk,1 adet
Barbunya,1 kg
Patates,20 kg
Sivri biber,1 kg
Karnıyarık,2 adet
Ayva,1 kg
İstiridye mantar,2 kg
Mürdüm erik,2 kg
Rakula,2 kg 1 paket
Roka,2 bağ 4 kasa
Fesleğen,2 paket 17 demet 10 adet
Kişniş,2 paket
Maydonoz,2 bağ 2 kasa 5 demet
Limon,297 kg
Karpuz,6 adet büyük boy
Agria patates,5 kg
Kuru soğan,37 kg
Marul,3 adet
Yedikule,2 paket
Armut (angele),2 kg
Kavun,3 adet
Siyah üzüm,8 kg
Arapsakalı soğan,2 paket
Bamya,1 kg
Patates (kremit),20 kg
İzmir biber,1 kg
Karnıbahar,2 adet
Kavuz,1 kg
Kuzu kulağı,1 adet
Greyfurt,1 kg
Portakal,6 kg
Ananas,5 adet
Dereotu,7 demet
Kapya,6 kg
Çarliston,2 kg
İstiridye mantarı,1 kasa
Kuzukulağı,10 demet
Pazı,3 demet
Isapanak,3 demet
Şeftali,3 kg
Muz,4 kg
Yaban mersini,1 paket
Avakado,14 adet
Kabak,1 kasa
Patlıcan,1 kasa
Kapya biber,1 kasa
Salatalık çengel,2 kasa
Domates kokteyl,1 kasa
Domates salkım,5 kasa
Domates pembe,2 kasa + 6 kg + 5 kg
Dere otu,2 kasa
Soğan taze,20 adet
Roka,3 kasa
Göbek,3 kasa
Kıvırcık,3 kasa
Semiz otu,1 kasa
Elma şeftali,5 kasa
Armut akça,1 kasa
Erik mürdüm,1 kasa
Nektarin beyaz,2 kasa
Şeftali yassı,2 kasa
Patates beybi,1 çuval
Mor soğan,2 örgülü salkım
Havuç,1 kasa
Nane,2 kasa + 1 adet
Çilek,1 kasa
Mantar,6 adet paket
Avakado ital,10 adet
Yassı şeftali,1 kasa
Beef domates,370 kg
Kokteyl domates,7 kg
Polorrosso,12 adet
Lolorosso,16 adet
Endivyen,11 adet
Rodyo,10 adet
Reyhan,10 adet
Salatalık badem,3 kg
Mantar paket,5 kg
Karpuz çekirdeksiz,7 adet + 10 kg
Kavun,6 adet
Maydanoz,3 adet
Salatalık,7 kg
Kıl biber,1 kg

