ürün,miktar
Domates,31 kg
Domates,1 kasa
Pembe domates,44 kg
Pembe domates,1 kasa
Kaba,1 kasa
Maydanoz,48 demet
Nane,10 demet
Nane,2 çubuk
Dereotu,34 demet
Kuzu kulağı,12 demet
Kuzu kulağı,4 adet
Kıvırcık,7 adet
Fesleğen,7 demet
Yeşil elma,3 kg
Siyah incir,5 kg
Tıraşlık soğan,1 paket
Biberiye,2 paket
Biberye,3 paket
Tere kekiği,2 paket
Frenk soğanı,5 paket
Kemer patlıcan,30 kg
Bostan patlıcan,34 kg
Kestane mantarı,1 kg
Kapya biber,3 kg
Soğan,70 kg
Arpacık soğan,7 paket
Balık soğan,3 kg
Balık soğanı,10 kg
Beyaz soğan,2 kg
Semiz otu,2 demet
Semiz otu,3 baf
Semizotu,2 tane
Siyah kabak,22 kg
Kıy biber,4 kg
Köyceğiz biber,2 kg
Sivri biber,4 kg
Roka,2 kasa
Roka,1 kova
Roka,1 kas
Kavun,6 adet
Kavun,1
Karpuz (çekirdeksiz),3 adet
Küçük ıstridye mantar,1 adet
Köy biberi,13 kg
Kırmızı biber,1 kg
Limon,"26,5 kg"
Ege otu,"2,5 kg"
Ege otu,15 adet
Kaya kulağı,2 demet
Patates (kızartmalık),10 kg
Patates (kırmızı),20 kg
Patates,20 kg
Beybi patates,2 kg
Baby patates,3 kg
Bebji patates,3 kg
Beyaz patates,2 kg
Yeşil soğan,2 kg
Soyulmuş sarımsak,1 paket
Fransız soğan,5 paket
Kekik,2 paket
Yapı kekik,4 paket
Bostan patlıcanı,8 kg
Angelica,2 kg
Kivi,2 kg
Siyah üzüm,8 kg
Taze soğan,6 demet
Kavurga,1 adet
Bamya,1 kg
Kınalı bamya,2 kg
Karnıbahar,2 adet
Havuç,3 kg
Siyah havuç,6 kg
Fesleğen,1 demet
Pancar,2 kg
Dolmalık biber,4 kg
Salatalık (engekli),1 kg
Reyhan,2 adet
Beyaz patlıcan,3 kg
